bedrooms,bathrooms,property_type,title,price,source
3,3,Apartment,Duplex Apartment 3 Bedrooms for Sale in Muscat Bay,290000,tibiaan
5,5,Land,Land for Sale in Al Mawaleh South,85000,tibiaan
5,5,Villa,Luxury Town House for Sale in Al Seeb,100000,tibiaan
2,2,Apartment,Wonderfully Furnished Apartment for Sale in Al Mouj,167000,tibiaan
4,4,Villa,Wonderful Town House for Sale in Al Khoudh 6,90000,tibiaan
4,4,Villa,Nice Twin Villa for Sale in Al Hail South,120000,tibiaan
3,3,Apartment,3 Bedrooms Apartment for Sale in Al Maabilah South,55000,tibiaan
5,6,Villa,Modern Villa for sale in Al Hail South,350000,tibiaan
5,5,Land,Land for Sale in Al Hail North,270000,tibiaan
5,5,Land,"Land for Sale in Sidab, Muttrah",260000,tibiaan
1,1,Apartment,1BHK Apartment for Sale in Al Qurum,50000,tibiaan
5,5,Land,Land for Sale in Al Khoudh 7,79000,tibiaan
3,3,Villa,Twin Villa for Sale in Al Seeb,85000,tibiaan
1,1,Apartment,Beautiful Apartment 1 BHK  for Sale in As Sifah,80000,tibiaan
1,2,Apartment,Beautiful Apartment 1 BHK  for Sale in As Sifah,75000,tibiaan
6,6,Villa,Wonderful Villa for sale in Al Mawaleh South,290000,tibiaan
4,4,Villa,Nice Villa for Sale in Al Amrat,95000,tibiaan
1,1,Apartment,Furnished Apartment for Sale in Al Qurum,45000,tibiaan
3,3,Apartment,Apartment for Sale in Al Qurum,75000,tibiaan
5,5,Apartment,3 BHK Apartment for Sale in Al Amrat,45000,tibiaan
5,5,Land,Land for Sale in Al Maabilah,59000,tibiaan
5,5,Villa,Twin Villa for Sale in Madinat As Sultan Qaboos,230000,tibiaan
5,5,Villa,Twin Villa for Sale in Madinat As Sultan Qaboos,240000,tibiaan
1,1,Apartment,1 BR + Maid’s Room Excellent Furnished Apartment in Bousher,50000,v1
2,2,Office,1 Desk Office Space for Small Companies in Qurum,20000,v1
5,5,Villa,5 BR + 1 + 1 Rooms Luxury Golf-View Villa with Pool in Muscat Hills,230000,v1
1,1,Penthouse,1 BR Cozy Freehold Penthouse Apartment – Muscat Hills,65000,v1
5,5,Villa,5 BR Spacious Villa in Mabaila South – Excellent Location,165000,v1
1,1,Apartment,1 BR Off-Plan Apartment with Store Room – Ghala,45700,v1
3,3,Apartment,3 BR + Maid’s Room Ground Floor Apartment in MSQ with Amenities,85000,v1
2,2,Penthouse,2 BR Excellent Penthouse Apartment in Sultan Haitham City with Private Pool,110500,v1
1,3,Apartment,3 + 1 BR Duplex Apartment in Sultan Haitham City – Freehold Property,95840,v1
2,2,Apartment,2 BR Elegant Furnished Apartment with Pool View – Muscat Hills,85000,v1
